Réseau Social,Class,Commentaire client,Commentaire modérateur,Date,category,urgent
Facebook,Espace Client + My Idoom,اودي ريقلوا كونكسيون و فضاء الزبون دخلت درت الشكوى من تم رجع منقدرش ندخل ليه,يمكنكم طرح انشغالاتكم فيما يخص خدماتنا عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية شكرا لتفهمكم.-إلهام.,45645,negative,1
Facebook,Espace Client + My Idoom,فضاء الزبون منذ التحديث الأخير لايعمل الرجاء إصلاح الخلل,"ر""يمكنكم طرح انشغالاتكم فيما يخص خدماتنا عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية شكرا لتفهمكم.
-إلهام.""",45645,negative,1
Facebook,Espace Client + My Idoom,خصنا معرفة عدد المكالامات عبر الهاتف والهاتف النقال في فضاء الزبون اوmy idoom,نعلمكم ان كل الاقتراحات التي تصب في فائدة مشتركينا مؤخوذة بعين الاعتبار و سيتم دراستها لارضائكم، نحن ملتزمون بكم وبتقديم أفضل ما لدينا دائما . دمتم اوفياء لاتصالات الجزائر ودمنا اقرب لزبائننا.,45645,suggestion,1
Facebook,Espace Client + My Idoom,انا عندي شكوى فضاء الزبون ماشي خدام والرقم الشكاوي ماشي خدام ,لقد تم التواصل معكم عبر الخاص،,45645.63837962963,negative,0
Facebook,Espace Client + My Idoom,متى يتم النضر في مشكلتي ؟ منذ أسبوعين لا أستطيع الدخول إلى فضاء الزبون لا يعمل في الكمبيوتر و لا في التطبيق,الرجاء مشاركتنا تفاصيل انشغالكم عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية ,45645.89403935185,negative,1
Facebook,Espace Client + My Idoom,فضاء الزبون 14يوم لايعمل,"""يمكنكم طرح انشغالاتكم فيما يخص خدماتنا عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية شكرا لتفهمكم. ",45646.43215277778,negative,1
Facebook,Espace Client + My Idoom,فضاء الزبون عبر الخاص لا يعمل لا يتم الرد,"""لقد تمت الإجابة عن رسالتكم عبر الخاص ، شكراً لكم.",45646.48340277778,negative,1
Facebook,Espace Client + My Idoom,تطبيق ايدوم و فضاء على قوقل لا يعملان,اذا كنتم تواجهون اي خلل يتعلق بخدمة My idoom او فضاء الزبون فبامكانكم التواصل معنا عبر الخاص لنتمكن من تقديم المساعدة ,45646.71381944444,negative,1
Facebook,Espace Client + My Idoom,علاش ما قدرتش ندخل في الموقع فضاء الزبائن حبيت نخلص ماراهوش يدخل الكونت ديالي,الرجاء مشاركتنا تفاصيل انشغالكم عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية ,45646.94707175926,interrogative,0
Facebook,Espace Client + My Idoom,لماذا. حسابي في فضاء الزبون لا يفتح؟,يمكنكم طرح انشغالاتكم فيما يخص خدماتنا عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية شكرا لتفهمكم.,45647.95302083333,interrogative,0
Facebook,Espace Client + My Idoom,ما هي المدة الزمنية تع أقرب الآجال عندكم، وما هو سبب التأخير الغير مبرر، 16 مرة وأنا أتواصل معكم عبر هذا الفضاء ودوما نفس الرد، ناهيك عن الوكالة التجارية، ما السبب؟?؟؟??؟؟؟؟?؟,msq,45648.3853125,interrogative,1
Facebook,Espace Client + My Idoom,فضاء الزبون لا يعمل عند الكثير,msq,45648.43134259259,negative,0
Facebook,Espace Client + My Idoom,فضاء الزبون راه معطل عند الكثير,msq,45648.43476851852,negative,0
Facebook,Espace Client + My Idoom,فيما يخص فتح حساب فضاء الزبون لقد ذهبت لاتصالات الجزائر لكنهم قالولي لازم تفتح حساب جديد المشكل انني فعلا قمت بفتح حساب جديد و بعثولي رسالة على g.mail من اجل تفعيله و قمت بذلك فعلا لكن عندما ازور صفحة فضاء الزبون و اكتب رقم الزبون و رقم MSISN تخرج لي بأن الصفحة لا تعمل حاليا و هذا منذ اسبوع و انا كل يوم احاول الدخول دون جدوى هل من تفسير او توجيهات,msq,45648.58143518519,suggestion,0
Facebook,Espace Client + My Idoom,فضاء الزبون سواء التطبيق او المتصفح لا يشتغل ؟!,الرجاء مشاركتنا تفاصيل انشغالكم عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية ,45648.88835648148,interrogative,0
Facebook,Espace Client + My Idoom,التطبيق my idomm فضاء الزبون لاتعمل Algérie Télécom - إتصالات الجزائر,إذا كنتم تواجهون أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يمكنكم التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة.,45649.51574074074,negative,0
Facebook,Espace Client + My Idoom,"التسجيل في فضاء الزبون معطل، لا يمكنني اتممام العملية لأن ""التحقق"" من الايميل لا يشتغل.",إذا كنتم تواجهون أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يمكنكم التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة.,45649.51717592592,negative,1
Facebook,Espace Client + My Idoom,وعلاش كي نجسل في فضاء زبون يقلي تأكيد بريد الكتروني وكي نأكد يبقا نفس مشكل,الرجاء مشاركتنا تفاصيل انشغالكم على الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,45649.69,interrogative,0
Facebook,Espace Client + My Idoom,لانستطيع الولوج لفضاء الزبون من خلال موقع إتصالات الجزائر و تطبيق my idoom وهذا منذ قترة طويلة,اذا كنتم تواجهون اي خلل يتعلق بخدماتنا فبامكانكم التواصل معنا عبر الخاص لنتمكن من تقديم المساعدة,45649.69195601852,negative,1
Facebook,Espace Client + My Idoom,تطبيق my idom. لا تعمل خاصية فضاء الزبون.,الرجاء منكم مراسلتنا عبر الخاص لطرح انشغالكم ,45650.42768518518,negative,1
Facebook,Espace Client + My Idoom,فضاء الزبون و التطبيق my idoom ( حتى بعد حذف cache ) متوقف منذ مدة؟؟,"الرجاء تزويدنا بتفاصيل انشغالكم عبر الرسائل الخاصة للصفحة ",45650.78747685185,interrogative,0
Facebook,Espace Client + My Idoom,"موقع ""فضاء الزبون"" لا يعمل منذ اسابيع","""الرجاء ارسال هذا الانشغال على الخاص مرفقا بالمعلومات التالية :رقم اشتراككم - رقم هاتفكم المحمول - اسم ولقب صاحب الخط - بريدكم الالكتروني شكرا لكم.",45651.44783564815,negative,0
Instagram,Espace Client + My Idoom,لماذا عملية التسجيل في فضاء الزبون غير متاحة،لقد حاولت التسجيل عدة مرات بدون فائدة.,الرجاء مشاركتنا تفاصيل انشغالكم عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,45652.77689814815,interrogative,1
Facebook,Espace Client + My Idoom,فضاء الزبون على تطبيق My idoom لا يشتغل منذ مدة طويلة، هل من تدخل ؟,نحيطكم علمًا بأن خدمة فضاء الزبون أصبحت متوفرة. إذا كنتم تواجهون أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يمكنكم التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة.,45654.36063657407,interrogative,0
Facebook,Espace Client + My Idoom,بعد التحويل من ADSL الى fibre اصبح الدخول الى حسابي الخاص بفضاء الزبون غير ممكن تظهر كتابة erreur au nom ]وبعدما حملت تطبيق mydoom لفتح حساب جديد بالرقم الهاتف الجديد 040 والحساب الالكترونيي الجديد وضغت على خانة التسجيل ظهرت كتابة ce compte éxiste déjà أين الخلل ؟,ندعوكم للتواصل معنا عبر الخاص قصد تزويدنا بمعلومات أوفر فيما يخص انشغالكم لنتمكن من تقديم المساعدة ,45656.74652777778,interrogative,0
Facebook,Espace Client + My Idoom,إتصالات الجزائر علاه بلعتوا فضاءات تاوعكم منخلصوششش,masqué,45657.51696759259,negative,0
Facebook,Espace Client + My Idoom,Algérie Télécom - إتصالات الجزائر علاه بلعتوا فضاءاتكم,masqué,45657.52233796296,negative,0
Facebook,Espace Client + My Idoom,Algérie Télécom - إتصالات الجزائر كل فضاءاتكم مبغاوششش يخلصوا انترنت لمدة اربعة ايام,masqué,45657.5225,negative,1
Facebook,Espace Client + My Idoom,انا سجلت في فضاء الزبون ثم جاءني رابط عبر البريد الإلكتروني لاتمم عملية التسجيل لكن عندما ادخل في الرابط يقول لي خطأ فاتصلت على الرقم 12واعطيتهم المعلومات التي طلبوها فقالو لي لقد فعلنا لك حسابك لكن عندما احاول الدخول بالرقم وكلمة المرور يقول لي خطأ في اسم المستخدم او كلمة المرور رغم أن الرقم وكلمة المرور ليس فيهما خطأ فمازلت لم أستطع الدخول ارجو حل هذا المشكل من فضلكم وشكرا,نعلمكم أن هذا المنشور يخص استبيان حول موقعنا الإلكتروني وصفحاتنا عبر شبكات التواصل الاجتماعي . نرجو منكم مشاركتنا أرائكم و إقتراحاتكم من خلال الرد على هذا الاستبيان. رأيكم يهمنا ,44976.74876157408,interrogative,1
Facebook,Espace Client + My Idoom,مشكل في موقع فضاء الزبون ؟؟,الرجاء تزويدنا بتفاصيل انشغالكم على الرسائل الخاصة للصفحة ,45002.46173611111,negative,0
Facebook,Espace Client + My Idoom,سلام اريد التسجيل في فضاء الزبون لكن لم استطع اضن انني اخطأت في التسجيل واريد التسجيل من جديد شكرا,الرجاء مشاركتنا تفاصيل انشغالكم على الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,45002.85868055555,positive,0
Facebook,Espace Client + My Idoom,كيف الغي اشتراك فضاء الزبون القديم نسيت الايمايل و كلمة السر,الرجاء مشاركتنا تفاصيل انشغالكم عبر الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,45007.88983796296,interrogative,0
Facebook,Espace Client + My Idoom,سلام كيفاش نعرف رقم الزبون باش نسجل في فضاء الزبون الي فالفاتورة غالط.......,الرجاء مشاركتنا تفاصيل انشغالكم على الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,45008.44818287037,negative,0
Facebook,Espace Client + My Idoom,هل عملية الرفع صالحة عن طريق فضاء الزيون ام لا وشكرا,نعم بالطبع سيدي ☺,45009.38912037037,interrogative,0
Instagram,Espace Client + My Idoom,مكنكم معرفة حجم الانترنت الخاص باشتراككم من خلال إنشاء حساب في فضاء الزبون على الموقع الرسمي وأيضا من خلال تحميل تطبيق,كيفاه نعرف شحال بقالي جيغا افيدونا بمعلومة,45010.05427083333,negative,0
Facebook,Espace Client + My Idoom,بالرغم من توفري على فضاء الزبون الا اته لا توصل بفاتورة الهاتف المدون في بريدي الالكتروني...الرجاء معالجة الامر,نود دعوتكم للتواصل معنا عبر الخاص، حيث يمكنكم تزويدنا بمعلومات إضافية تساعدنا في فهم احتياجاتكم بشكل أفضل وتقديم المساعدة المناسبة,45012.59799768519,negative,0
Facebook,Espace Client + My Idoom,هل ساستفيد من عرض رفع التدفق ان قمت بذلك عن طريق فضاء الزبون ؟,نعم بالطبع سيدي ,45012.60506944444,interrogative,0
Facebook,Espace Client + My Idoom,عند مطالعتي لفضاء الزبون وبعد رفع التدفق عن طريقه لم أجد أني تحصلت على الشهر المجاني المذكور في عرض رمضان Algérie Télécom - إتصالات الجزائر,الرجاء مشاركتنا تفاصيل انشغالكم على الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,45013.95546296296,negative,0
Facebook,Espace Client + My Idoom,فضاء الزبون خردة الرداءة حتي في التطور و التكنولوجيا,"masqué ",45016.45074074074,negative,0
Facebook,Espace Client + My Idoom,وضعت طلب و لم يتم رفع السرعة عبر فضاء الزبون .... هل يطول الامر,"لرجاء ارسال هذا الانشغال على الخاص مرفقا بالمعلومات التالية :رقم هاتفكم ـ الاسم و اللقب - رقم هاتفكم المحمول ",45016.50072916667,interrogative,0
Facebook,Espace Client + My Idoom,عبر فضاء الزبون لم اجد رفع التدفق.,يمكنكم الاتصال بخدمة الزبائن على الارقام 12او100 للقيام بالعملية.,45016.00697916667,negative,0
Instagram,Espace Client + My Idoom,"تقدر تحول من اديسال لفيدياسال في فضاء الزبون ولا 12 ","يمكنكم القيام بإختبار الأهلية على الرابط https://www.algerietelecom.dz/ar/particuliers/idoom-adsl-prod3 يمكنكم الاتصال بالرقم 12 حتى يتم رفع سرعة تدفقكم إلى إشتراك 50 ميغا -VDSLإن كنتم مؤهلون لخدمة ال   ",45016.90625,interrogative,0
Facebook,Espace Client + My Idoom,دخلت للفضاء الزبون ما صبتش منين ارفع التدفق,الرجاء تزويدنا بتفاصيل انشغالكم عبر الرسائل الخاصة بالصفحة .,45017.43788194445,negative,0
Facebook,Espace Client + My Idoom,صحا فطوركم لكن الزيادة لا تضهر عند الولوج في فضاء الزبون. يضهر فقط العرض المعبئ,الرجاء مشاركتنا تفاصيل انشغالكم على الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,45017.91434027778,negative,0
Facebook,Espace Client + My Idoom,شوفولنا فضاء الزبون الجديد ميبعثش فاتورة الهاتف الثابت للإيميل المسجل وكذلك مكانش خاصية تحميل الفاتورة كيما فضاء الزبون القديم,"مرحبا Imad Yahyawi ،
نعلمكم أننا نولي اهتماما بجميع آرائكم و انشغالاتكم ، و نسعى لتطوير مختلف خدماتنا لترقى لتطلعاتكم.
شهندة 殺.",44958.61386267361,negative,0
Facebook,Espace Client + My Idoom,"نحوس على حل لمشكل عدم وجود الفاتورة في فضاء الزبون وعدم استلامها عبر الايميل
راسلت جميع الجهات ولا حياة لمن تنادي","لرجاء مشاركتنا تفاصيل انشغالكم على الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية
- هشام",44958.96940743056,negative,1
Facebook,Espace Client + My Idoom,هل موقع فضاء الزبون معطل منذ الأمس أحاول الدخول ولا أستطيع,يرجى تزويدنا بمعلومات اكثر حول انشغالكم، عبر الخاص,44963.44335648148,negative,1
Facebook,Espace Client + My Idoom,لماذا لاتحلو مشكل فضاء زبون,يرجى تزويدنا بمعلومات اكثر حول انشغالكم، عبر الخاص,44963.48796296296,interrogative,0
Facebook,Espace Client + My Idoom,فضاء الزبون لا يعمل معي.,"مرجبا الرجاء تزويدنا بتفاصيل انشغالكم على الرسائل الخاصة للصفحة شكرا~ يزيد ",44964.87814814815,negative,1
Facebook,Espace Client + My Idoom,يهديكم ربي يسهلو الولوج لفضاء الزبون حتى نتمكن من معرفة الرصيد المتبقى بعد الاستهلاك,masqué,44966.92745981481,negative,0
FacebookFacebook,Espace Client + My Idoom,علاش كي نجي نسجل في فضاء الزبون يقولي بلي مسجل من قبل,علمكم أن هذا المنشور يخص استبيان حول تخزين .في هذا الصدد شاركونا أرائكم في هذا الشأن من خلال الرد على هذا الاستبيان  في ما يخص انشغالكم يرجى مراسلتنا عبر الخاص. .,44967.87497685185,interrogative,0
Facebook,Espace Client + My Idoom,Algérie Télécom - إتصالات الجزائر كيف احصل على رقم الزبون لكي اسجل في فضاء الزبون,مرحبا Rachid Belmadi ،,44969.4221875,interrogative,0
Facebook,Espace Client + My Idoom,خدمة فضاء الزبون لا تعمل حاليا، أين الخلل ؟ ما عدا برنامج my idoom,الرجاء مشاركتنا تفاصيل انشغالكم على الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,44969.91913712963,interrogative,0
Facebook,Espace Client + My Idoom,Algérie Télécom - إتصالات الجزائر كيفية الولوج الى فضاء الزبون من فضلكم ورقم الزبون هذا منين نجيبوه,"يمكنكم ايجاد رقم الزبون الخاص بكم في عقد اشتراككم ",44970.44920138889,interrogative,0
Facebook,Espace Client + My Idoom,ماراهيش توصل الفاتورة لا عن طريق الإيميل ولا عن طريق فضاء الزبون,تطبيق اتصالات الجزائر My Idoom بحلته الجديدة 朗 مع خصائص و ميزات رائعة يخليكم تستفادوا من خدماتنا بسهولة :تطبيق اتصالات الجزائر My Idoom بحلته الجديدة 朗 مع خصائص و ميزات رائعة يخليكم تستفادوا من خدماتنا بسهولة :تطبيق اتصالات الجزائر My Idoom بحلته الجديدة 朗 مع خصائص و ميزات رائعة يخليكم تستفادوا من خدماتنا بسهولة :تطبيق اتصالات الجزائر My Idoom بحلته الجديدة 朗 مع خصائص و ميزات رائعة يخليكم تستفادوا من خدماتنا بسهولة :,44970.85568287037,negative,0
Facebook,Espace Client + My Idoom,ممكن تعطونا حل كيفية الغاء اشتراك فضاء الزبون,الرجاء مشاركتنا تفاصيل انشغالكم على الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,44970.86773148148,interrogative,0
Facebook,Espace Client + My Idoom,كيف نسجل في فضاء الزبون من فضلكم,يرجى إتباع الخطوات التي تجدونها في الرابط التالي  :,44970.89984953704,interrogative,0
Facebook,Espace Client + My Idoom,صراحة فضاء اتصالات الجزائر غير مبني على أسس قوية ممكن في يوم تبرز أشياء مفرحة ثم تختفي فجأة .. التحكم في التكنولوجيا غير مضمون حاليا .. أتمنى لكم التوفيق لأن توفيقكم يسهل علينا مصالحنا .," نعلمكم ان جميع اقتراحاتكم وارائكم ماخوذة بعين الاعتبار، اتصالات الجزائر تسعى دائما على تطوير مختلف خدماتها لترقى لتطلعاتكم.",44970.9065625,negative,0
Facebook,Espace Client + My Idoom,مشكلتي أنني لم أتمكن من التسجيل في فضاء الزبون و في كل مرة تظهر لي عبارة باللون الاحمر في الأسفل رقم الزبون خاطئ ! بالرغم من أن الرقم دققت فيه أكثر من مرة و متأكد 100% أنه صحيح .,الرجاء مشاركتنا تفاصيل انشغالكم على الرسائل الخاصة للصفحة مع ارفاق كل المعلومات الضرورية,44971.34964120371,negative,1
Facebook,Espace Client + My Idoom,انا لم أتمكن من تسجيل فضاء الزبون برغم من رقم الزبون صحيح,تمت مراسلتكم عبر الخاص .,44971.37710648148,negative,1
Facebook,Espace Client + My Idoom,لدي إشتراك عشرون ميجا الألياف البصرية هل يمكنني رفعها إلى خمسون ميجا من فضاء الزبون دون تنقل إلى الوكالة التجارية ارجوا الرد من فضلكم شكرا,بالطبع سيدي يمكنكم رفع التدفق من فضاء الزبون,44971.63980324074,interrogative,0
Facebook,Espace Client + My Idoom,موقع فضاء الزبون مراهش يخدم,نعلمكم أن هذا المنشور يخص استبيان حول تجربتكم ووجهة نظركم حول موقعنا الإلكتروني وصفحاتنا عبر شبكات التواصل الاجتماعي . نرجو منكم مشاركتنا أرائكم و إقتراحاتكم من خلال الرد على هذا الاستبيان. رأيكم يهمنا.,44972.50568287037,negative,0
Facebook,Espace Client + My Idoom,السلام عليكم أريد أن غير الاشتراك الشهري بالنسبة للتدفق عبر فضاء الزبون او عبر الإنترنت ارجو ان تفيدونا وشكرا,"يمكنكم رفع قيمة التدفق عبر تطبيق MY IDOOM او فضاء الزبون ",44973.51472222222,interrogative,0
Facebook,Espace Client + My Idoom,كيف احصل على حساب في فضاء الزبون,تمت مراسلتكم عبر الخاص .,44974.35965277778,interrogative,0
