Réseau Social,Class,Commentaire client,category,urgent
Facebook,Retards d’installation ou de mise en service,عندنا 4اشهر ملي طلبنا وهذا العرض رقم 3 والمودم غير متوفر,negative,1
Facebook,Retards d’installation ou de mise en service,المشكل عندكم طلبات عندها خمسة أشهر عرض بعد عرض و المودام ماكانش لماذا ؟,interrogative,1
Facebook,Retards d’installation ou de mise en service,كي توصل لينا بعدها ساهل,negative,0
Facebook,Retards d’installation ou de mise en service,المشكل ليمودام مكاش رانا في شهرين دايرين طلب وننتظر,negative,1
Facebook,Retards d’installation ou de mise en service,نحن حي جديد جاو تاع اتصالات الجزائر يلموا الملفات لربط الانترنت من هذاك نهار ما بان عليهم حتى خبر، عندهم دروك شهرين من لي حطينا الملفات و لا جديد رغم انو مازال فقط الربط للمنزل يعني الشبكة الرئيسية موجودة,negative,1
Facebook,Retards d’installation ou de mise en service,كملوا قبل مع عرض الصيف وجيبوا مودم وجيبولنا مودم باه نقراو راني نقرا برا في المقاهي زعما تجمع سكني وقطب حضري جديد وهكاك مزال,negative,0
Facebook,Retards d’installation ou de mise en service,Algérie Télécom - إتصالات الجزائر قصدك مودام فيبر غير متوفر,negative,0
Facebook,Retards d’installation ou de mise en service,شحال عندنا رانا نسناو لافيبر هاذي ولو,negative,0
Facebook,Retards d’installation ou de mise en service,منذ 20يوم,negative,1
Facebook,Retards d’installation ou de mise en service,مهاود براهيم انا فيبر. ومعنديش انترنت,negative,1
Facebook,Retards d’installation ou de mise en service,Algérie Télécom - إتصالات الجزائر من فضلكم عنابة 6 اشهر او لي مودام مكانش تعبنا,negative,1
Facebook,Retards d’installation ou de mise en service,Algérie Télécom - إتصالات الجزائر وفرو ليمودام أولا قبل كل شي,negative,1
Facebook,Retards d’installation ou de mise en service,"Algérie Télécom - إتصالات الجزائر le problème c'est que les résidences a même pas 500m ils ont la fibre , en tt les cas nchallah",negative,1
Facebook,Retards d’installation ou de mise en service,"ان شاالله تكونو جبتولنا les modems تاع la fibre, هرمنا ‍",negative,0
Facebook,Retards d’installation ou de mise en service,تتجيبو لينا المودم ولاية الوادي 廊,negative,1
Facebook,Retards d’installation ou de mise en service,لخيط ماشي ولباطة راكبة وكي تروح تسقسي يقولك حنا نجيو وماجاوش,negative,0
Facebook,Retards d’installation ou de mise en service,نحن بلا انترنت منذ 3 أشهر,negative,1
Facebook,Retards d’installation ou de mise en service,نحن حي 606 مسكن ميديتيات بالبوني عنابة ننتظر في جهاز المودام منذ أشهر,negative,1
Facebook,Retards d’installation ou de mise en service,"هدا مكان ياك رانا زبائن عندكم هدا حقنا بدلونا المودام القديم تاع الالياف البصرية ",negative,1
Facebook,Retards d’installation ou de mise en service,واقيلا رايحين تجيبو ليمودام ,negative,0
Facebook,Retards d’installation ou de mise en service,هذي اكثر من شهر وانا انتظر كلش راكب الخيط المودام فيبر الرقم ولكن بدون انترنت السبب لم أجد اي واحد يعطيني اياه اتصلت بوصلة التقنية لا شئ وجنوني للمصلحة التجارية اخذو رقمي ولكن لا شئ سجلت في صفحة الاحتياجات لاشئ لا جواب  العنوان حي زواد بوهناق منصورة تلمسان,negative,1
Facebook,Retards d’installation ou de mise en service,واش الفايدة تع العرض هذا هو اصلا لي مودام مهوش متوفر رنا قريب عام وحنا ستناو في جد موام هذا,negative,0
Facebook,Retards d’installation ou de mise en service,يا تل و راهم لي مودام هريمنا,negative,0
Facebook,Retards d’installation ou de mise en service,دفعت ملف اشتراك منذ 3 اشهر في انترنات الالياف البصرية الى يومنا هذا لا يتوفر المودام في الوكالات جميعا,negative,1
Facebook,Retards d’installation ou de mise en service,مافهمتش نتوما تتمسخرو بنا ولا واشنو ياو كرهنا منكم ليمدام مكانش عندها 8 أشهر نتوما ديرو فترويج وفرونا لو لا خلو نا نشروو حنايا وله اديسال خير من فيبر شركة لكذب,negative,1
Facebook,Retards d’installation ou de mise en service,عندي شهرين ملي سجلت فل عرض لي قبل هذا و مزال مبان والو في قسنطينة,negative,1
Facebook,Retards d’installation ou de mise en service,راني في شهر ملي درت دوموند مي مزالهم ما ركبوش مودام,negative,1
Facebook,Retards d’installation ou de mise en service,أمين نمراوي حنا في ضواحي العاصمة بلاصوهولنا في اكتوبر للي فات، و قبلها ما كاش عندنا كابل نحاسي (adsl),negative,1
Facebook,Retards d’installation ou de mise en service,وفرولنا لي مودام الجيل 6 فالوكالات رانا عيينا من كثرة الطلبات ...عندي اشتراك 300 ميغا تلحقني 50 ميغا,negative,1
Facebook,Retards d’installation ou de mise en service,رني بدون انترنت مند 20يوم عندي شهرين تقريبا وتركيب فيبر ومخلص,negative,1
Facebook,Retards d’installation ou de mise en service,وحنا جماعة اديسال عالاقل طلعوها فديسال,negative,0
Facebook,Retards d’installation ou de mise en service,التوصيل بالالياف كاين مي لي فيبر مكاش 3 أشهر نستناو ومكان والو كون غير خليتونا مع adsl مدام ماش قادرين توفرو لي فيبر ,negative,1
Instagram,Retards d’installation ou de mise en service,Damn. منيش قادر نستنى لي مودام ,negative,0
Twitter,Retards d’installation ou de mise en service,ليمودام قريب  عام مكانش حتى العام 2025 و مكانش و  هو يقولك اشترك مودام مجاني,negative,1
Twitter,Retards d’installation ou de mise en service,عام ونحن ننتظر,negative,0
Facebook,Retards d’installation ou de mise en service,مودام فيبر غير متوفر منذ عدة أشهر,negative,1
Facebook,Retards d’installation ou de mise en service,وفرونا مودام فيبر فأم البواقي ؟؟؟؟؟,interrogative,1
Facebook,Retards d’installation ou de mise en service,وقتاش تجيبو les modems fibres,negative,1
Facebook,Retards d’installation ou de mise en service,راني في انتظار يطلقولي الأنترنت لاش ندفع اونلين,negative,1
Facebook,Retards d’installation ou de mise en service,رانا في شهرين ملي درنا الدوموند ومكان والو. كي تسقسيهم يقولولك مكانش لي مودام,negative,1
Facebook,Retards d’installation ou de mise en service,أنتم المودام في عام كامل ماجبتوهش ومازال راكم تبلعطو,negative,1
Facebook,Retards d’installation ou de mise en service,تروح الوكالة يقولك مكانش,negative,1
Facebook,Retards d’installation ou de mise en service,راهو اقولو في مركز اتصالات الجزائر بلي مكاش مودام جاري راه في اربعة اشهر . كل خطرة نفس الشئ مكاش مودام .ليوم كان عندهم قالولو مكاش . في الواقع والمواقع ماشي كيف كيف,negative,1
Facebook,Retards d’installation ou de mise en service,مكاش تاع مودام كاجي,negative,0
Facebook,Retards d’installation ou de mise en service,وفرو مودمات الياف بصرية لولاية اولاد جلال منذ اكثر من 6اشهر لايوجد بهذه الولاية,negative,1
Facebook,Retards d’installation ou de mise en service,ouled djellal toujours pas de modem fibre,negative,1
Facebook,Retards d’installation ou de mise en service,"اكثر من 9 اشهر من انتهاء اشغال تمديد الالياف في بلدية منعةولاية باتنة لكن لحد الان لاربط مع المنازل و كي نسقسيو في الوكالة ايقولك ماعلبالناش مانعرفوش. ",negative,1
Facebook,Retards d’installation ou de mise en service,رانا نستناو حنا جماعة ADSL في باتنة بزاف ناس راهي تستنى تجيبوا المودام راه مكانش على مستوى الوكالات.....,negative,1
Facebook,Retards d’installation ou de mise en service,"منذ 24 اوت 2024 وانا انتظر !!!!!!ندعوكم ",negative,1
Instagram,Retards d’installation ou de mise en service,les Modem makach,negative,0
Instagram,Retards d’installation ou de mise en service,قتلتونا بلكذب المودام غير متوفر عندي 4 أشهر ملي حطيت الطلب في ولاية خنشلة و مزال ماجابوش المودام,negative,1
Facebook,Retards d’installation ou de mise en service,Algérie Télécom - إتصالات الجزائر تقدمت بالطلب الى اتصالات الجزائر ببلدية متليلي ولاية غرداية لكن الرد دائما هو عدم توفر المودام,negative,1
Facebook,Retards d’installation ou de mise en service,انتظرونا الساعات القليلة المقبلة ومن بعد خلاونا بلا إنترنت يومين,negative,1
Facebook,Retards d’installation ou de mise en service,ركبولي انترنت الياف البصرية مشات 3 ايام و تعطلت,negative,1
Facebook,Retards d’installation ou de mise en service,متى يتم توزيع أجهزة ال modem fibre نحن ننتظر منذ شهر جويلية الماضي,negative,1
Facebook,Retards d’installation ou de mise en service,اييييييييه بصصحححححح وينرااااااه لموداااااااااأم ....... إلى متى,negative,0
Facebook,Retards d’installation ou de mise en service,حطيت طلب في شهرين ماشفنا والو اتصالات الجزائر والكذب نتاعكم ماحبيتوش تحبسوه,negative,1
Facebook,Retards d’installation ou de mise en service,عندي 3 اشهر ملي درت طلب خط ولحد ساعة مزال مركبوناش الخط يقولك لمودام غير متوفرين,negative,1
Facebook,Retards d’installation ou de mise en service,من عرض 300 ولينا لعرض 500 لحد الآن بعد 4 أشهر من الطلب يقولولي مزال. وفروا المودام أمبعد اعرضوا,negative,1
Facebook,Retards d’installation ou de mise en service,"وينوا المودام فيبر هذا لي راه مطلوب عند 40مليون شخص و ما يحتاجش أصلا إشهار ",negative,1
Facebook,Retards d’installation ou de mise en service,عروض كثيرة و لكن الاجهزة غير متوفرة تبسه ونزة نموذج,negative,1
Facebook,Retards d’installation ou de mise en service,وينو المودام فيبر هذا 8 أشهر نسناو بسكرة,negative,1
Facebook,Retards d’installation ou de mise en service,"اين المودم انا أراه بحثت عنه في كل ارجاء العالم ",negative,0
Facebook,Retards d’installation ou de mise en service,كي توصل و نشوفو تراه موال ماوصلتش عندنا,negative,1
Facebook,Retards d’installation ou de mise en service,كي يكون عندكم ADSL مليحة أمبعد نهدرو على لفيبر ,negative,0
Facebook,Retards d’installation ou de mise en service,عندي سمانة ملي خلصت انترنت او ليوم راحتلي وحدها وملقري مازل باقي 21 يوم باش تخلص,negative,1
Facebook,Retards d’installation ou de mise en service,عندي كثر من 45 يوم نستنا فمودم في بجاية,negative,1
Facebook,Retards d’installation ou de mise en service,جيبولنا لي مودام لعنابة كلش راكب غير لي مودام مكانش,negative,1
Facebook,Retards d’installation ou de mise en service,عندي كموند و فيبر عندي في حومتي وراني في3أشهر ونا نستنا,negative,1
Facebook,Retards d’installation ou de mise en service,علي اساس المودام كاين عندنا عام مخلصين و مكانش مودام,negative,1
Facebook,Retards d’installation ou de mise en service,قلنالكم 99 مرآة وهاني رايح نقفل 100 مرة مودام رآه مكانش كاين غير نتاع مليون وفي لبيرو نتاعكم في دائرة برج لغدير ولاية برج بوعريريج,negative,1
Facebook,Retards d’installation ou de mise en service,وبعد العرض الترويجي ڤداه تخلص لشهر,interrogative,0
Facebook,Retards d’installation ou de mise en service,ياو راني من جوان وانا نستىنى,negative,1
Facebook,Retards d’installation ou de mise en service,من الأخير، تستنى الفيبر، ومن بعد تستنى المودام,negative,1
Facebook,Retards d’installation ou de mise en service,مودام ماكانش منذ عام,negative,1
Facebook,Retards d’installation ou de mise en service,رانا في انتظار المودام في ولاية سوق اهراس رانا في 08 اشهر من الانتظار,negative,1
Facebook,Retards d’installation ou de mise en service,اي وين راهم لمووووودااااااااام وبعد احيلنا على كاينة ومكانش,negative,0
Facebook,Retards d’installation ou de mise en service,او استنا كاش 3 سنين ولا كثر,negative,1
Facebook,Retards d’installation ou de mise en service,كي يوصل الفيبر و نهدرو,negative,0
Facebook,Retards d’installation ou de mise en service,خلصت 2200 دج و حاليا اكثر من شهرين و لم يتم التركيب بعد,negative,1
Facebook,Retards d’installation ou de mise en service,3 اشهر و انا نستنى فالمودام ....لا خبر عليه ...عروض تروجية للاستهلاك الاعلامي لا غير,negative,1
Facebook,Retards d’installation ou de mise en service,",وين راهم ليمودام حتان تعرملو في هادو العروض",negative,0
Facebook,Retards d’installation ou de mise en service,وين راهم لي مودام؟؟؟؟؟؟؟ راني في 7 أشهر نستناو,interrogative,1
Facebook,Retards d’installation ou de mise en service,السلام عليكم عندكم عرض ب500دج تمدو مودام باطل كاين العرض هذا في مدينة قسنطينة علي منجلي راهو تكسرلي المودام راني عام وانا نحوس ملقيتش جيتكم للمقر قالولي اسنى,negative,1
Facebook,Retards d’installation ou de mise en service,وين راه المودم ولاية الوادي رانا نعانو رانا كرهنا والله حرام عليكم,negative,1
Facebook,Retards d’installation ou de mise en service,"وين راه المودم ؟! مهدى ... ولامجاني ... ولا ب 500 مليون ... ولابمليون ... هات برك يكون كاين مودم فيبر ! ",interrogative,0
Facebook,Retards d’installation ou de mise en service,المودام الانعدامي,negative,0
Facebook,Retards d’installation ou de mise en service,علاه المودام غير متوفر,negative,0
Facebook,Retards d’installation ou de mise en service,Les modems fibre optique compatible wifi 6 sont toujours indisponibles introuvables aux ACTEL depuis plus d'une année,negative,1
Facebook,Retards d’installation ou de mise en service,لمودام في عام وانا نستناو رغم دفع جميع الحقوق,negative,1
Facebook,Retards d’installation ou de mise en service,وينهو المودام ياخ مڨطوع,negative,0
Facebook,Retards d’installation ou de mise en service,رانا في عام مكانش لي مودام رغم انهم ركبولنا الأسلاك وكلشي مي مجبوش لي مودام تحير ......!,negative,1
Facebook,Retards d’installation ou de mise en service,المودام ماكانش في ولاية عنابة كي يكون من بعد دير الاشهار,negative,1
Facebook,Retards d’installation ou de mise en service,والآن مع المفاجأة الكبرااااا معندناش لافيبر اصلا هههه,negative,0
Facebook,Retards d’installation ou de mise en service,ولاية تبسة أكثر من 8 شهر كل وكالاتكم ما فيهمش ولو مودام واحد وين الخلل,negative,1
Facebook,Retards d’installation ou de mise en service,وينو المودام؟؟؟؟؟؟؟؟؟؟,negative,0
Facebook,Retards d’installation ou de mise en service,مازال ما جاوش المودام من شهر اوت و رانا نستناو و لا خبر ... خنشلة,negative,1
Facebook,Retards d’installation ou de mise en service,المودام مش باطل لانو مكانش,negative,1
Facebook,Retards d’installation ou de mise en service,Algérie Télécom - إتصالات الجزائر Yew jibouna les modems bark presque une année à constantine sans modem.,negative,1
Facebook,Retards d’installation ou de mise en service,ADSL هي التالية ما جابوهاناش يجيبولك الفيبر رانا في شهر دايرين الدوموند ومكان والو,negative,1
Facebook,Retards d’installation ou de mise en service,وين راه المودام ,negative,0
Facebook,Retards d’installation ou de mise en service,لي مودام وقتاش يوصلونا,interrogative,0
Facebook,Retards d’installation ou de mise en service,نحن سكان تعاونية الأمل عين النعجة القديمة، تم تزويد الحي بالالياف البصرية منذ مدة و تم دفع الملف و التسجيل عند وضعكم الخيمة عند مدخل الحي، مر اكثر من شهرين على ذلك و لم يستفد الحي الالياف البصرية، تقدمت الى مصلحة الزبائن في لاكوت طريق بئر مراد رايس لطرح الانشغال، فتم اعلامنا ان كل الوثائق اللتي قدمناها لكم ذلك اليوم تم تضييعها، اتأسف لهذا المستوى المتدني لادارتكم الموكلة اليها حينا المتواضع، شكرا.,negative,1
Facebook,Retards d’installation ou de mise en service,كي جيبو لي مودام من بعد ساهل ..,negative,0
Facebook,Retards d’installation ou de mise en service,وين راه المودام عندي شهر و انا نستنى ..تبسة ...,negative,1
Facebook,Retards d’installation ou de mise en service,وين راه المودام ؟؟,negative,0
Facebook,Retards d’installation ou de mise en service,رانا في الانتظار نسمعو بلي كاين الفيبر و ما لحقنا والو,negative,0
Facebook,Retards d’installation ou de mise en service,تشكيا وعدي غي وصلوه ومنبعد ساهل حنا غي نسمعو على هاذا فيبر دخلتوه للعاصمة باينة ليكم برك,negative,1
Facebook,Retards d’installation ou de mise en service,"جيبولنا لي مودام ",negative,0
Facebook,Retards d’installation ou de mise en service,وكالة سكيكدة كل ما نروحلهم يقولولي المودام ما كانش ؟؟,interrogative,1
Facebook,Retards d’installation ou de mise en service,من شهر جوان و انا داير دوموند و راني نستنا ( مع العلم المسكن واصل ليه الألياف ) لكن المودام مكانش,negative,1
Facebook,Retards d’installation ou de mise en service,المودام غير متوفر في بلدية الأخضرية منذ حوالي اكثر من 5 اشهر ؟؟؟؟؟؟؟؟؟؟,interrogative,1
Facebook,Retards d’installation ou de mise en service,جيبولي مودام للعوينات-تبسة رحمة على والديكم راني نستنى من مدة,negative,1
Facebook,Retards d’installation ou de mise en service,ارواح ركبوهم,negative,0
Facebook,Retards d’installation ou de mise en service,ويم راهم اجهزة الالياف لبصرية راهم يسوقو لخدمات غير متوفرة,negative,0
Facebook,Retards d’installation ou de mise en service,السلام هل من جديد فيما يخص التحول الى ftth كل شيئ استوفيته من طلب و البنية التحية على عتبة المنزل بقيت الاستجابة بدوى عدم وجود modem?,interrogative,1
Facebook,Retards d’installation ou de mise en service,مودام ماقدرتوش توفروه .تحكو على عصرنة الإتصالات و دراسة عرائض المواطنين,negative,1
Facebook,Retards d’installation ou de mise en service,راني في ثلث شهر مدوموندي ومكانش لمودام (جلفة ),negative,1
Facebook,Retards d’installation ou de mise en service,اعطونا المودم مجانا ومن بعد وصلوا لينا الخط,negative,0
Facebook,Retards d’installation ou de mise en service,وله راح نهبل معاكم هنا ديرو عرووض كي ترووح وكالة اقلك مكانش ليمدام من جانفي 2024 ما دخل حتا واحد انا عندي 7 أشهر ونا نستنا شكون يكذب حنا ولا نتوما فهمونا يا شركة الرخسس بكم بالوزير تعكم شبعتونا,negative,1
Facebook,Retards d’installation ou de mise en service,"En n'a fait une demande presque 3 mois ,ya rien",negative,1
Facebook,Retards d’installation ou de mise en service,الأشغال تمت ولكن المودام غير متوفر عندكم,negative,0
Facebook,Retards d’installation ou de mise en service,المودام في بريكة غير متوفر,negative,0
Facebook,Retards d’installation ou de mise en service,ولكن السلعة غير متوفرة ومحدودة,negative,0
Facebook,Retards d’installation ou de mise en service,لحد الان المودام مكانش,negative,0
Facebook,Retards d’installation ou de mise en service,كيفاه نديرو العرض هذا رانا درنا طلبات ودينا الوثايق وركبولنا ريزوات مزالو غير المودامات ؟,interrogative,0
Facebook,Retards d’installation ou de mise en service,والناس اللي دارت الاشتراك من اللول خلاص معندنا حتى عرض,negative,1
Facebook,Retards d’installation ou de mise en service,وين راهم مودام,negative,1
Facebook,Retards d’installation ou de mise en service,جيبو ليمودام و من بعد ساهلة تكذبون على الناس و يقعدو 6 شهر و هوما يستناو في مودام كيما انا,negative,1
Facebook,Retards d’installation ou de mise en service,وينهم لي مودام من فضلكم,negative,0
Facebook,Retards d’installation ou de mise en service,في المركزية يديرو العرض، وفي باقي الولايات(غرداية مثلا) يقولك المودام مكانش (غير متوفر).,negative,1
Facebook,Retards d’installation ou de mise en service,"قريب عام انتظار ",negative,1
Facebook,Retards d’installation ou de mise en service,مشكل راه في مودام مكاش,negative,0
Facebook,Retards d’installation ou de mise en service,ومشكل المودام مكاش,negative,0
Facebook,Retards d’installation ou de mise en service,Ya Hicham yahdik rebi khasona les modems la fibre,negative,1
Facebook,Retards d’installation ou de mise en service,عندما يكون العرض اقل من الطلب  احنا المودام بدراهمنا حصلنا مالقيناهش,negative,0
Facebook,Retards d’installation ou de mise en service,درتو ليكابل و رانا في 3 شهور نقارعو مجاوش دارو قابسا راكوم تقال بزاف,negative,1
Facebook,Retards d’installation ou de mise en service,شوفو اتصالات الجزائر لحقولنا الـ fibre و مديروش تخفيض المهم يلحق الفيبر بلدية مقطع دوز دائرة المحمدية ولاية معسكر,negative,1
Facebook,Retards d’installation ou de mise en service,"السؤال المحير هو: العروض قائمة لكن المودام غير متوفر! هناك أشخاص شاركوا في العرض الترويجي 300 دينار وللآن لم يتم لا اعطاؤهم المودام ولا ربطهم بالشبكة، ولما يذهبون للوكالة يقولون لهم :""المودام غير متوفر""... هههههههه",negative,1
Facebook,Retards d’installation ou de mise en service,عيطولي في فيفري سجلوني من هذاك نهار و أنا نستنى مكاين والو. جاو للحي تاعنا دارو خيمة في سبتمبر، قالولي على سمانة نجيو نركبولك. مزالني نستنى واش من عام يتفكروني.,negative,1
Facebook,Retards d’installation ou de mise en service,حنا في اولاديعيش حي الامير 1240 قدام المارشي تع الخضرا عندنا 4 اشهر ملي سرقولنا ليكابل قالونا اصبرو نركبولكم لفيبر رانا في 5اشهر,negative,1
Facebook,Retards d’installation ou de mise en service,جيبولنا مودام نخلصوه بالدراهم و مكانش جاي تقلي مودام مجاني وراه هذا المجاني,negative,1
Facebook,Retards d’installation ou de mise en service,من 26 جوان وانا نسنا في مودام… وللحكاية بقية,negative,1
